Date;Price;Open;High;Low;Vol.;Change %
02/17/2023;143.52;141.70;143.90;141.20;559.31K;-0.97%
02/16/2023;144.92;143.22;146.96;143.02;747.28K;2.96%
02/15/2023;140.76;138.62;142.30;137.88;454.82K;1.40%
02/14/2023;138.82;140.68;141.80;138.12;603.33K;-0.83%
02/13/2023;139.98;137.80;142.40;137.52;701.56K;0.52%
02/10/2023;139.26;140.00;144.68;136.58;3.55M;-10.88%
02/09/2023;156.26;154.76;157.54;154.72;426.87K;1.47%
02/08/2023;154.00;154.80;157.12;153.26;506.92K;0.60%
02/07/2023;153.08;154.72;154.72;152.12;374.46K;-1.47%
02/06/2023;155.36;158.20;159.18;154.06;484.33K;-3.54%
02/03/2023;161.06;156.70;161.38;153.66;632.80K;1.99%
02/02/2023;157.92;149.34;158.68;149.34;997.23K;7.01%
02/01/2023;147.58;146.84;148.16;146.24;397.95K;0.14%
01/31/2023;147.38;146.40;147.58;145.08;477.84K;0.04%
01/30/2023;147.32;146.80;148.12;145.26;619.65K;-0.66%
01/27/2023;148.30;148.22;148.92;146.60;618.95K;2.08%
01/26/2023;145.28;146.40;148.08;144.84;500.69K;-0.15%
01/25/2023;145.50;148.10;148.68;144.94;499.92K;-2.17%
01/24/2023;148.72;149.08;150.06;147.98;306.60K;-0.03%
01/23/2023;148.76;147.30;149.08;145.50;373.06K;1.58%
01/20/2023;146.44;145.78;147.06;144.18;552.99K;1.60%
01/19/2023;144.14;146.78;147.54;143.84;655.33K;-3.57%
01/18/2023;149.48;151.22;151.54;148.74;432.71K;-0.76%
01/17/2023;150.62;148.00;152.28;147.70;500.54K;0.67%
01/16/2023;149.62;147.96;152.20;146.82;541.39K;2.12%
01/13/2023;146.52;145.98;148.44;145.30;483.06K;0.05%
01/12/2023;146.44;143.62;148.14;143.50;559.43K;1.31%
01/11/2023;144.54;141.28;146.80;140.86;808.60K;3.17%
01/10/2023;140.10;141.00;141.50;138.48;494.20K;-1.10%
01/09/2023;141.66;141.70;143.06;139.48;773.64K;0.70%
01/06/2023;140.68;139.58;140.68;137.20;518.33K;1.54%
01/05/2023;138.54;138.22;140.86;137.52;421.27K;0.12%
01/04/2023;138.38;132.20;138.88;132.20;870.76K;4.93%
01/03/2023;131.88;129.74;133.36;129.02;437.76K;3.27%
01/02/2023;127.70;128.34;128.66;126.20;278.89K;0.19%
12/30/2022;127.46;127.80;128.04;126.00;251.40K;-0.72%
12/29/2022;128.38;125.02;129.44;124.16;388.38K;2.07%
12/28/2022;125.78;126.34;129.06;125.78;279.43K;-0.44%
12/27/2022;126.34;126.96;127.16;125.30;224.48K;0.38%
12/23/2022;125.86;124.94;126.78;123.86;279.83K;0.56%
12/22/2022;125.16;124.90;127.20;124.40;366.13K;-0.90%
12/21/2022;126.30;122.50;129.36;122.50;885.43K;6.76%
12/20/2022;118.30;119.54;121.30;117.50;561.32K;-2.38%
12/19/2022;121.18;122.90;122.90;119.80;462.73K;0.07%
12/16/2022;121.10;117.96;122.52;116.66;1.55M;2.14%
12/15/2022;118.56;122.00;122.38;117.64;981.33K;-4.37%
12/14/2022;123.98;122.80;124.16;121.54;541.10K;-0.02%
12/13/2022;124.00;117.34;126.08;117.18;797.53K;5.53%
12/12/2022;117.50;117.70;118.24;115.80;386.18K;-1.18%
12/09/2022;118.90;118.38;119.96;117.38;519.14K;1.16%
12/08/2022;117.54;117.60;117.70;114.60;458.12K;-0.02%
12/07/2022;117.56;118.00;118.98;116.38;485.96K;-1.26%
12/06/2022;119.06;121.56;122.50;118.42;583.09K;-2.46%
12/05/2022;122.06;123.96;127.00;121.60;561.95K;-1.77%
12/02/2022;124.26;123.20;126.34;122.10;604.97K;-0.53%
12/01/2022;124.92;124.64;127.68;123.88;621.30K;2.18%
11/30/2022;122.26;122.00;123.08;120.80;737.95K;1.09%
11/29/2022;120.94;123.00;125.64;120.08;634.26K;-0.26%
11/28/2022;121.26;123.38;124.66;121.26;552.97K;-2.19%
11/25/2022;123.98;126.40;126.40;123.10;478.67K;-2.12%
11/24/2022;126.66;124.30;127.60;123.24;357.09K;1.90%
11/23/2022;124.30;123.30;125.14;121.84;425.77K;1.06%
11/22/2022;123.00;123.96;125.10;122.02;513.16K;-1.05%
11/21/2022;124.30;128.20;128.72;123.14;;-3.79%
11/18/2022;129.20;130.04;130.50;125.96;1.11M;0.12%
11/17/2022;129.04;130.00;130.90;127.84;521.37K;-0.52%
11/16/2022;129.72;131.70;133.24;129.10;757.18K;-1.82%
11/15/2022;132.12;132.48;132.68;127.66;1.06M;0.20%
11/14/2022;131.86;136.42;137.10;131.32;1.01M;-2.79%
11/11/2022;135.64;130.00;137.06;128.72;1.36M;5.97%
11/10/2022;128.00;121.80;129.20;119.76;1.36M;2.86%
11/09/2022;124.44;116.50;125.58;116.26;1.82M;3.70%
11/08/2022;120.00;114.00;120.48;111.50;1.83M;4.38%
11/07/2022;114.96;111.92;115.58;108.90;1.32M;0.81%
11/04/2022;114.04;96.00;121.26;94.97;4.10M;21.38%
11/03/2022;93.95;95.99;96.77;93.40;933.79K;-3.02%
11/02/2022;96.88;98.23;98.76;96.55;860.17K;-2.11%
11/01/2022;98.97;100.36;101.46;97.95;723.53K;-0.01%
10/31/2022;98.98;100.32;100.40;98.34;644.18K;-0.37%
10/28/2022;99.35;97.72;99.82;96.80;906.78K;0.01%
10/27/2022;99.34;100.02;103.20;99.26;1.20M;-2.61%
10/26/2022;102.00;100.54;102.46;97.20;1.32M;1.49%
10/25/2022;100.50;102.70;103.06;94.62;2.59M;-3.20%
10/24/2022;103.82;102.78;105.18;102.10;1.02M;-0.04%
10/21/2022;103.86;105.50;107.10;101.84;2.34M;-9.53%
10/20/2022;114.80;115.58;116.06;112.44;602.31K;-0.76%
10/19/2022;115.68;118.90;118.90;114.62;441.90K;-2.20%
10/18/2022;118.28;120.32;121.30;118.28;517.63K;0.08%
10/17/2022;118.18;114.30;119.06;112.36;611.80K;3.56%
10/14/2022;114.12;115.68;116.34;111.74;716.32K;0.88%
10/13/2022;113.12;109.90;114.74;107.46;970.73K;1.11%
10/12/2022;111.88;115.08;116.52;111.30;627.69K;-2.78%
10/11/2022;115.08;113.66;115.28;112.50;535.21K;0.74%
10/10/2022;114.24;113.94;117.94;113.22;687.81K;-1.14%
10/07/2022;115.56;118.26;120.76;115.56;1.01M;-5.17%
10/06/2022;121.86;123.20;125.58;121.14;685.23K;-0.77%
10/05/2022;122.80;125.56;127.44;121.92;775.57K;-2.69%
10/04/2022;126.20;120.66;126.20;119.68;759.90K;6.05%
10/03/2022;119.00;117.88;119.00;115.02;901.40K;0.10%
09/30/2022;118.88;120.28;121.04;116.74;1.46M;-4.14%
09/29/2022;124.02;129.12;129.44;122.82;989.29K;-4.78%
09/28/2022;130.24;125.38;130.98;124.36;1.02M;2.31%
09/27/2022;127.30;128.80;131.54;127.30;850.48K;-2.15%
09/26/2022;130.10;129.14;133.14;128.82;698.73K;-0.66%
09/23/2022;130.96;133.74;134.38;129.44;855.60K;-1.87%
09/22/2022;133.46;133.00;136.42;132.78;641.83K;-2.21%
09/21/2022;136.48;134.10;137.08;133.50;566.91K;0.55%
09/20/2022;135.74;137.60;138.66;134.10;718.57K;-0.70%
09/19/2022;136.70;135.30;138.40;133.32;536.22K;1.15%
09/16/2022;135.14;133.50;135.64;132.32;2.59M;-1.07%
09/15/2022;136.60;141.68;142.52;135.78;880.41K;-4.01%
09/14/2022;142.30;142.04;144.76;140.82;584.57K;-0.42%
09/13/2022;142.90;151.16;151.64;142.90;706.81K;-4.24%
09/12/2022;149.22;146.54;151.64;145.78;565.22K;2.66%
09/09/2022;145.36;142.28;146.76;141.76;625.11K;2.11%
09/08/2022;142.36;142.66;143.50;138.50;739.31K;0.27%
09/07/2022;141.98;143.00;143.84;140.02;811.12K;-1.65%
09/06/2022;144.36;142.82;146.74;142.70;490.25K;-0.58%
09/05/2022;145.20;144.06;146.06;142.44;539.46K;-2.08%
09/02/2022;148.28;147.22;149.12;143.36;618.11K;2.15%
09/01/2022;145.16;146.70;147.02;143.66;631.03K;-2.10%
08/31/2022;148.28;152.38;152.62;148.10;648.65K;-2.15%
08/30/2022;151.54;149.04;154.00;147.80;521.75K;2.20%
08/29/2022;148.28;150.10;151.60;148.28;605.03K;-2.15%
08/26/2022;151.54;159.42;159.50;150.46;633.01K;-4.09%
08/25/2022;158.00;160.00;160.36;156.92;350.21K;-0.53%
08/24/2022;158.84;155.50;159.10;153.52;405.10K;1.63%
08/23/2022;156.30;156.82;159.96;155.76;646.47K;-0.43%
08/22/2022;156.98;164.30;164.46;156.62;934.99K;-5.21%
08/19/2022;165.60;165.12;168.20;165.00;570.55K;-1.15%
08/18/2022;167.52;169.88;171.68;166.08;437.52K;-0.93%
08/17/2022;169.10;174.00;176.14;168.62;486.87K;-2.46%
08/16/2022;173.36;173.00;173.36;170.04;381.86K;0.24%
08/15/2022;172.94;173.98;174.96;171.32;223.31K;-0.15%
08/12/2022;173.20;171.90;173.28;170.14;451.16K;0.69%
08/11/2022;172.02;174.50;176.04;171.22;311.23K;-0.77%
08/10/2022;173.36;167.34;173.60;164.12;495.61K;2.58%
08/09/2022;169.00;175.62;176.20;169.00;588.22K;-3.48%
08/08/2022;175.10;173.00;175.54;172.32;347.83K;2.06%
08/05/2022;171.56;175.36;178.06;171.20;483.96K;-2.10%
08/04/2022;175.24;170.24;178.60;170.14;528.10K;2.48%
08/03/2022;171.00;166.20;171.28;165.32;533.33K;2.35%
08/02/2022;167.08;170.42;170.68;165.00;473.78K;-2.25%
08/01/2022;170.92;167.80;173.18;166.68;616.27K;1.86%
07/29/2022;167.80;164.82;167.80;162.88;954.28K;0.88%
07/28/2022;166.34;160.64;167.88;160.64;683.58K;3.28%
07/27/2022;161.06;163.24;165.36;159.40;1.36M;-5.10%
07/26/2022;169.72;174.80;175.36;169.42;573.99K;-3.58%
07/25/2022;176.02;175.14;178.80;174.66;295.12K;-0.34%
07/22/2022;176.62;174.82;179.62;174.00;529.73K;0.88%
07/21/2022;175.08;173.44;175.12;171.40;358.45K;0.68%
07/20/2022;173.90;176.56;178.14;171.86;603.91K;-1.15%
07/19/2022;175.92;164.00;175.92;163.46;869.02K;6.50%
07/18/2022;165.18;161.60;166.68;161.10;359.07K;2.62%
07/15/2022;160.96;155.16;160.96;153.68;660.24K;4.22%
07/14/2022;154.44;159.60;163.52;153.52;625.12K;-4.04%
07/13/2022;160.94;160.44;163.96;158.00;479.27K;0.17%
07/12/2022;160.66;161.50;161.78;158.76;506.95K;-1.48%
07/11/2022;163.08;165.10;166.70;162.12;459.04K;-3.19%
07/08/2022;168.46;168.54;169.70;165.26;565.20K;-0.48%
07/07/2022;169.28;164.74;169.84;164.34;593.40K;2.88%
07/06/2022;164.54;166.22;166.48;157.26;1.20M;-1.02%
07/05/2022;166.24;168.88;170.06;165.20;659.23K;-0.85%
07/04/2022;167.66;168.26;169.34;166.54;293.70K;0.01%
07/01/2022;167.64;166.82;169.80;165.70;541.62K;-0.66%
06/30/2022;168.76;167.88;169.18;165.16;810.13K;-0.74%
06/29/2022;170.02;167.06;171.98;166.76;610.80K;-0.18%
06/28/2022;170.32;171.24;173.14;169.46;877.39K;-0.91%
06/27/2022;171.88;172.20;175.84;171.24;512.51K;0.89%
06/24/2022;170.36;166.78;172.78;165.78;702.38K;1.98%
06/23/2022;167.06;163.96;168.16;163.60;778.65K;1.26%
06/22/2022;164.98;163.64;167.04;161.24;540.98K;-0.66%
06/21/2022;166.08;166.36;169.12;165.84;429.83K;-0.26%
06/20/2022;166.52;169.00;169.10;164.96;326.76K;0.31%
06/17/2022;166.00;162.94;167.60;162.32;1.32M;2.47%
06/16/2022;162.00;165.06;165.56;160.26;1.14M;-2.67%
06/15/2022;166.44;166.44;169.22;165.46;831.14K;1.15%
06/14/2022;164.54;167.40;169.50;164.54;1.06M;-3.03%
06/13/2022;169.68;172.04;174.68;169.48;776.50K;-3.43%
06/10/2022;175.70;179.70;180.40;175.70;776.00K;-3.14%
06/09/2022;181.40;185.00;186.06;180.72;732.11K;-2.98%
06/08/2022;186.98;188.32;188.84;184.48;473.05K;0.53%
06/07/2022;186.00;186.34;187.08;182.56;582.97K;-1.24%
06/06/2022;188.34;188.98;190.10;186.74;364.76K;0.64%
06/03/2022;187.14;188.82;191.20;186.64;485.82K;0.29%
06/02/2022;186.60;182.84;188.16;182.72;521.40K;2.28%
06/01/2022;182.44;185.96;186.40;181.76;536.50K;-1.10%
05/31/2022;184.46;184.00;187.42;183.42;2.34M;-0.19%
05/30/2022;184.82;183.44;185.86;183.10;525.26K;2.70%
