Date;Price;Open;High;Low;Vol.;Change %
02/24/2023;0.7075;0.6945;0.7140;0.6945;11.32M;1.58%
02/22/2023;0.6965;0.6960;0.7225;0.6930;39.60M;0.14%
02/21/2023;0.6955;0.6800;0.7295;0.6780;76.89M;2.73%
02/20/2023;0.6770;0.6945;0.7005;0.6660;23.84M;-1.96%
02/17/2023;0.6905;0.7145;0.7190;0.6750;20.38M;-1.07%
02/16/2023;0.6980;0.6630;0.7220;0.6630;76.52M;6.08%
02/15/2023;0.6580;0.7010;0.7010;0.6490;33.19M;-6.40%
02/14/2023;0.7030;0.7150;0.7165;0.6950;35.70M;-1.68%
02/13/2023;0.7150;0.7280;0.7365;0.7060;30.07M;-1.11%
02/10/2023;0.7230;0.7500;0.7510;0.7150;44.04M;-0.89%
02/09/2023;0.7295;0.7150;0.7630;0.6980;212.74M;4.59%
02/08/2023;0.6975;0.6845;0.7000;0.6750;39.59M;1.90%
02/07/2023;0.6845;0.6950;0.7100;0.6760;67.83M;-0.87%
02/06/2023;0.6905;0.6575;0.7100;0.6555;97.69M;5.34%
02/03/2023;0.6555;0.6690;0.6695;0.6455;20.97M;-1.35%
02/02/2023;0.6645;0.6800;0.7145;0.6590;94.99M;-0.67%
02/01/2023;0.6690;0.6400;0.7380;0.6325;289.49M;5.02%
01/31/2023;0.6370;0.6250;0.6400;0.6160;37.96M;2.58%
01/30/2023;0.6210;0.6130;0.6210;0.6110;9.56M;1.64%
01/27/2023;0.6110;0.6160;0.6185;0.6100;16.64M;-0.49%
01/26/2023;0.6140;0.6240;0.6240;0.6085;8.30M;-0.16%
01/25/2023;0.6150;0.6280;0.6280;0.6100;11.44M;-0.97%
01/24/2023;0.6210;0.6090;0.6350;0.6080;41.84M;2.73%
01/23/2023;0.6045;0.5955;0.6110;0.5950;10.83M;1.51%
01/20/2023;0.5955;0.5960;0.6010;0.5850;11.58M;-0.17%
01/19/2023;0.5965;0.6090;0.6095;0.5950;18.55M;-2.13%
01/18/2023;0.6095;0.6155;0.6195;0.6055;8.41M;-0.97%
01/17/2023;0.6155;0.6185;0.6220;0.6120;19.96M;-0.89%
01/16/2023;0.6210;0.6160;0.6345;0.6155;36.56M;1.31%
01/13/2023;0.6130;0.6205;0.6255;0.6020;45.92M;-2.00%
01/12/2023;0.6255;0.6290;0.6480;0.6110;47.54M;0.40%
01/11/2023;0.6230;0.5870;0.6420;0.5850;159.62M;6.77%
01/10/2023;0.5835;0.5755;0.5860;0.5755;15.39M;0.43%
01/09/2023;0.5810;0.5795;0.5840;0.5735;20.23M;1.04%
01/06/2023;0.5750;0.5780;0.5780;0.5610;7.95M;0.17%
01/05/2023;0.5740;0.5705;0.5780;0.5685;25.21M;0.79%
01/04/2023;0.5695;0.5660;0.5695;0.5600;8.96M;1.42%
01/03/2023;0.5615;0.5585;0.5670;0.5550;7.91M;0.54%
12/30/2022;0.5585;0.5610;0.5670;0.5545;10.94M;0.18%
12/29/2022;0.5575;0.5620;0.5690;0.5490;20.87M;0.45%
12/28/2022;0.5550;0.5560;0.5685;0.5400;36.00M;0.91%
12/27/2022;0.5500;0.5895;0.5925;0.5450;88.68M;2.04%
12/26/2022;0.5390;0.5400;0.5495;0.5370;13.85M;0.09%
12/23/2022;0.5385;0.5375;0.5440;0.5255;12.02M;0.37%
12/22/2022;0.5365;0.5385;0.5500;0.5300;27.90M;0.56%
12/21/2022;0.5335;0.5170;0.5400;0.5105;24.24M;3.19%
12/20/2022;0.5170;0.5160;0.5235;0.5000;10.09M;0.19%
12/19/2022;0.5160;0.5270;0.5460;0.5055;30.02M;-1.71%
12/16/2022;0.5250;0.5050;0.5400;0.4980;33.86M;4.06%
12/15/2022;0.5045;0.5055;0.5295;0.5040;18.58M;-0.10%
12/14/2022;0.5050;0.5095;0.5135;0.5010;8.15M;-1.46%
12/13/2022;0.5125;0.5135;0.5260;0.5070;19.30M;0.10%
12/12/2022;0.5120;0.4915;0.5450;0.4860;59.70M;4.70%
12/09/2022;0.4890;0.4955;0.4985;0.4800;10.97M;-1.01%
12/08/2022;0.4940;0.4980;0.5015;0.4905;5.78M;-0.10%
12/07/2022;0.4945;0.5070;0.5070;0.4905;6.14M;-1.88%
12/06/2022;0.5040;0.5075;0.5150;0.4945;8.85M;-1.37%
12/05/2022;0.5110;0.5140;0.5195;0.5025;11.79M;-0.29%
12/02/2022;0.5125;0.5050;0.5175;0.5035;13.82M;1.49%
12/01/2022;0.5050;0.5115;0.5190;0.4925;24.44M;0.20%
11/30/2022;0.5040;0.4890;0.5550;0.4890;76.64M;3.28%
11/29/2022;0.4880;0.4815;0.4920;0.4770;10.78M;1.14%
11/28/2022;0.4825;0.4845;0.4845;0.4730;4.97M;0.73%
11/25/2022;0.4790;0.4800;0.4845;0.4740;4.16M;-0.21%
