Date;Price;Open;High;Low;Vol.;Change %
08/12/2022;3940.5;3935.0;3979.0;3901.0;399.40K;0.39%
08/11/2022;3925.0;3899.0;3963.0;3875.0;500.97K;0.90%
08/10/2022;3890.0;3895.0;3910.0;3825.0;452.73K;-0.13%
08/09/2022;3895.0;3720.0;3895.0;3701.5;456.81K;4.70%
08/08/2022;3720.0;3779.0;3819.0;3720.0;356.66K;1.10%
08/05/2022;3679.5;3720.0;3746.0;3659.5;379.69K;-1.09%
08/04/2022;3720.0;3800.0;3816.0;3712.0;374.53K;-2.08%
08/03/2022;3799.0;3823.0;3855.0;3784.0;398.60K;-0.63%
08/02/2022;3823.0;3930.5;3965.5;3795.0;585.71K;-2.75%
08/01/2022;3931.0;3883.0;4030.0;3825.5;1.01M;1.39%
07/29/2022;3877.0;3830.0;3880.0;3809.5;275.99K;1.20%
07/28/2022;3831.0;3870.0;3885.0;3770.0;423.00K;-0.43%
07/27/2022;3847.5;3850.0;3878.0;3810.0;488.73K;0.59%
07/26/2022;3825.0;3694.0;3825.0;3675.5;544.41K;4.25%
07/25/2022;3669.0;3672.0;3709.5;3637.0;369.72K;-0.52%
07/22/2022;3688.0;3552.0;3688.0;3551.0;575.22K;4.20%
07/21/2022;3539.5;3577.0;3577.5;3482.5;485.94K;-1.13%
07/20/2022;3580.0;3601.0;3664.0;3556.5;350.25K;-0.56%
07/19/2022;3600.0;3645.0;3654.5;3567.0;306.82K;-1.23%
07/18/2022;3645.0;3721.0;3777.0;3613.0;386.00K;-1.73%
07/15/2022;3709.0;3643.5;3710.0;3580.0;461.64K;2.80%
07/14/2022;3608.0;3645.5;3710.0;3551.0;610.14K;-1.03%
07/13/2022;3645.5;3757.0;3767.0;3619.0;585.48K;-2.84%
07/12/2022;3752.0;3830.0;3846.0;3713.0;502.25K;-2.51%
07/11/2022;3848.5;3900.0;3920.0;3802.5;539.59K;-1.60%
07/08/2022;3911.0;3959.5;3980.0;3902.5;359.49K;-1.14%
07/07/2022;3956.0;3963.0;4010.0;3940.0;339.57K;-0.15%
