Date;Price;Open;High;Low;Vol.;Change %
05/05/2023;50.960;50.220;51.120;50.060;973.85K;1.84%
05/04/2023;50.040;50.300;50.520;49.620;694.33K;0.24%
05/03/2023;49.920;49.900;50.240;49.050;744.83K;0.58%
05/02/2023;49.630;50.660;50.920;49.530;959.09K;-1.68%
04/28/2023;50.480;50.120;50.560;48.380;1.93M;1.18%
04/27/2023;49.890;49.800;50.300;49.360;877.77K;0.06%
04/26/2023;49.860;50.000;50.200;49.540;1.01M;-0.44%
04/25/2023;50.080;50.820;50.880;49.890;1.03M;-1.65%
04/24/2023;50.920;50.980;51.460;50.660;616.42K;0.32%
04/21/2023;50.760;50.620;50.840;50.080;994.96K;1.20%
04/20/2023;50.160;52.260;52.260;49.980;2.02M;-4.20%
04/19/2023;52.360;52.060;52.460;51.720;539.03K;0.27%
04/18/2023;52.220;52.700;52.980;52.220;673.36K;-0.61%
04/17/2023;52.540;53.820;53.880;52.540;914.68K;-1.72%
04/14/2023;53.460;52.860;53.800;52.800;963.37K;1.83%
04/13/2023;52.500;52.620;52.960;52.180;694.61K;-0.19%
04/12/2023;52.600;52.900;53.580;52.600;681.83K;-0.60%
04/11/2023;52.920;52.980;53.600;52.720;686.48K;1.42%
04/06/2023;52.180;51.940;52.360;51.660;429.90K;0.12%
04/05/2023;52.120;52.680;52.840;51.760;717.58K;-0.95%
04/04/2023;52.620;53.000;53.640;52.620;694.28K;-0.30%
04/03/2023;52.780;53.020;53.340;52.700;559.12K;-0.26%
03/31/2023;52.920;53.360;53.360;52.640;748.67K;-0.38%
03/30/2023;53.120;52.680;53.420;52.580;692.10K;1.41%
03/29/2023;52.380;51.720;52.380;51.080;732.22K;1.67%
03/28/2023;51.520;52.940;53.120;51.460;632.18K;-1.08%
03/27/2023;52.080;51.380;52.780;51.320;887.12K;2.48%
03/24/2023;50.820;51.800;51.900;50.440;1.13M;-2.27%
03/23/2023;52.000;52.960;53.100;51.540;915.69K;-1.29%
03/22/2023;52.680;52.240;53.480;52.120;962.46K;1.00%
03/21/2023;52.160;51.260;52.320;51.140;780.11K;2.68%
03/20/2023;50.800;50.960;51.020;49.820;1.04M;-0.59%
03/17/2023;51.100;52.220;53.020;50.820;1.86M;-2.11%
03/16/2023;52.200;53.020;53.500;50.900;2.02M;0.50%
03/15/2023;51.940;54.720;55.180;51.940;2.26M;-4.91%
03/14/2023;54.620;55.400;55.400;54.180;1.08M;-1.41%
03/13/2023;55.400;57.680;57.740;54.760;1.15M;-3.89%
03/10/2023;57.640;57.200;57.640;56.380;773.68K;-1.44%
03/09/2023;58.480;59.720;59.780;57.960;685.34K;-2.14%
03/08/2023;59.760;58.640;60.100;58.640;770.58K;1.63%
03/07/2023;58.800;58.300;60.180;58.300;1.17M;0.31%
03/06/2023;58.620;57.460;59.440;57.200;1.80M;2.34%
03/03/2023;57.280;53.980;57.540;53.520;1.78M;5.57%
03/02/2023;54.260;53.640;54.460;53.540;522.90K;0.44%
03/01/2023;54.020;54.100;54.680;53.880;568.02K;0.48%
02/28/2023;53.760;53.300;53.780;52.940;820.95K;0.75%
02/27/2023;53.360;53.400;53.760;53.340;448.86K;0.45%
02/24/2023;53.120;54.720;54.780;53.120;1.07M;-2.67%
02/23/2023;54.580;54.980;55.300;54.580;538.91K;-0.15%
02/22/2023;54.660;54.700;54.900;54.080;537.66K;-0.36%
02/21/2023;54.860;55.520;55.560;54.540;623.85K;-1.26%
02/20/2023;55.560;56.120;56.160;55.400;542.16K;-0.07%
02/17/2023;55.600;55.780;56.020;55.300;744.84K;-0.71%
02/16/2023;56.000;55.700;56.480;55.540;728.16K;1.23%
02/15/2023;55.320;55.460;55.620;55.000;597.42K;0.11%
02/14/2023;55.260;55.380;55.740;54.740;605.77K;0.58%
02/13/2023;54.940;55.400;55.500;54.760;469.47K;-0.33%
02/10/2023;55.120;56.560;56.760;54.800;969.07K;-2.61%
02/09/2023;56.600;56.480;57.260;56.400;690.11K;1.18%
02/08/2023;55.940;56.920;56.920;55.440;776.73K;-1.48%
02/07/2023;56.780;56.780;56.920;55.960;620.21K;0.18%
02/06/2023;56.680;57.660;57.860;56.220;685.69K;-1.39%
02/03/2023;57.480;57.220;58.500;56.540;1.05M;-0.31%
02/02/2023;57.660;56.000;57.900;55.520;1.07M;3.89%
02/01/2023;55.500;55.100;55.500;54.400;862.09K;1.35%
01/31/2023;54.760;54.700;54.880;53.900;848.29K;0.15%
01/30/2023;54.680;54.600;54.960;54.180;611.55K;0.07%
01/27/2023;54.640;54.400;55.100;54.300;645.34K;0.89%
01/26/2023;54.160;54.300;54.520;54.060;694.72K;0.56%
01/25/2023;53.860;54.720;55.060;53.520;846.09K;-1.46%
